zstate1,zcity3,推理,省,市全称,市简称,区全称,区简称,翻译过程,province,province_clean,city,cityshort,town,townshort,provinceshortname,provincename,cityname,cityshortname,citypinyin,cityshortpinyin,provincepinyin
inner mongolia,hondlon district,inner mongolia指内蒙古。hondlon district为包头市昆都仑区，市全称升级为包头市。,内蒙古,包头市,包头,昆都仑区,昆都仑,内蒙古拼音neimenggu，包头市拼音baotoushi，包头拼音baotou，昆都仑区拼音kundulunqu，昆都仑拼音kundulun,neimenggu,inner mongolia,baotoushi,baotou,kundulunqu,kundulun,内蒙古自治区,内蒙古,包头市,包头,baotoushi,Baotou,Inner Mongolia
inner mongolia,qingshan district,inner mongolia指内蒙古。qingshan district指青山区，所属地级行政区是包头市，全称包头市，简称包头。青山区全称青山区，简称青山。,内蒙古,包头市,包头,青山区,青山,内蒙古拼音neimenggu，包头市拼音baotoushi，包头拼音baotou，青山区拼音qingshanqu，青山拼音qingshan,neimenggu,inner mongolia,baotoushi,baotou,qingshanqu,qingshan,内蒙古自治区,内蒙古,包头市,包头,baotoushi,Baotou,Inner Mongolia
liaoning,pingshan district,liaoning指辽宁。pingshan district指本溪市平山区，所属地级行政是本溪市，全称本溪市，简称本溪。区级单位填充到区。,辽宁,本溪市,本溪,平山区,平山,辽宁拼音liaoning，本溪市拼音benxishi，本溪拼音benxi，平山区拼音pingshanqu，平山拼音pingshan,liaoning,liaoning,benxishi,benxi,pingshanqu,pingshan,辽宁省,辽宁,本溪市,本溪,benxishi,Benxi,Liaoning
yunnan,yao an county,yunnan指云南。yao an county是姚安县，隶属楚雄彝族自治州，简称楚雄。姚安县简称姚安。,云南,楚雄彝族自治州,楚雄,姚安县,姚安,云南拼音yunnan，楚雄彝族自治州拼音chuxiongyizuzizhizhou，楚雄拼音chuxiong，姚安县拼音yaoanxian，姚安拼音yaoan,yunnan,yunnan,chuxiongyizuzizhizhou,chuxiong,yaoanxian,yaoan,云南省,云南,楚雄彝族自治州,楚雄,chuxiongyizuzizhizhou,Chuxiong,Yunnan
inner mongolia,xuejiawan,inner mongolia指内蒙古自治区。xuejiawan可能指鄂尔多斯市准格尔旗的薛家湾镇，所属地级行政是鄂尔多斯市，全称鄂尔多斯市，简称鄂尔多斯。薛家湾镇不属于区级行政区，返回原输入。,内蒙古,鄂尔多斯市,鄂尔多斯,null,null,内蒙古拼音neimenggu，鄂尔多斯市拼音eerduosishi，鄂尔多斯拼音eerduosi，null非中文返回null，null非中文返回null,neimenggu,inner mongolia,eerduosishi,eerduosi,null,null,内蒙古自治区,内蒙古,鄂尔多斯市,鄂尔多斯,eerduosishi,Ordos,Inner Mongolia
heilongjiang,gongnong district,heilongjiang指黑龙江。gongnong district指工农区，所属地级行政区是鹤岗市，全称鹤岗市，简称鹤岗。工农区全称工农区，简称工农。,黑龙江,鹤岗市,鹤岗,工农区,工农,黑龙江拼音heilongjiang，鹤岗市拼音hegangshi，鹤岗拼音hegang，工农区拼音gongnongqu，工农拼音gongnong,heilongjiang,heilongjiang,hegangshi,hegang,gongnongqu,gongnong,黑龙江省,黑龙江,鹤岗市,鹤岗,hegangshi,Hegang,Heilongjiang
xinjiang uygur,kunyu,xinjiang uygur指新疆。kunyu为和田地区昆玉市，市全称升级为和田地区，区为昆玉市。,新疆,和田地区,和田,昆玉市,昆玉,新疆拼音xinjiang，和田地区拼音hetiandiqu，和田拼音hetian，昆玉市拼音kunyushi，昆玉拼音kunyu,xinjiang,xinjiang,hetiandiqu,hetian,kunyushi,kunyu,新疆维吾尔自治区,新疆,和田地区,和田,hetiandiqu,Hotan,Xinjiang
guangxi zhuang,mengzi,guangxi zhuang指广西壮族自治区。mengzi指红河哈尼族彝族自治州蒙自市，所属地级行政是红河哈尼族彝族自治州，全称红河哈尼族彝族自治州，简称红河。县级市填充到区。,广西,红河哈尼族彝族自治州,红河,蒙自市,蒙自,广西拼音guangxi，红河哈尼族彝族自治州拼音honghehanizuyizuzizhizhou，红河拼音honghe，蒙自市拼音mengzishi，蒙自拼音mengzi,guangxi,guangxi,honghehanizuyizuzizhizhou,honghe,mengzishi,mengzi,云南省,云南,红河哈尼族彝族自治州,红河,honghehanizuyizuzizhizhou,Honghe,Yunnan
qinghai,huangnaihai township,qinghai指青海。huangnaihai township指黄南藏族自治州同仁县的黄乃亥乡，所属地级行政是黄南藏族自治州，全称黄南藏族自治州，简称黄南。乡级单位不填充到区。,青海,黄南藏族自治州,黄南,null,null,青海拼音qinghai，黄南藏族自治州拼音huangnanzangzuzizhizhou，黄南拼音huangnan，null非中文返回null，null非中文返回null,qinghai,qinghai,huangnanzangzuzizhizhou,huangnan,null,null,青海省,青海,黄南藏族自治州,黄南,huangnancangzuzizhizhou,Huangnan,Qinghai
shandong,shanghe,shandong指山东。shanghe指商河县，所属地级行政区是济南市，全称济南市，简称济南。商河县全称商河县，简称商河。,山东,济南市,济南,商河县,商河,山东拼音shandong，济南市拼音jinanshi，济南拼音jinan，商河县拼音shanghexian，商河拼音shanghe,shandong,shandong,jinanshi,jinan,shanghexian,shanghe,山东省,山东,济南市,济南,jinanshi,Jinan,Shandong
hubei,gong an county,hubei指湖北。gong an county指公安县，所属地级行政区是荆州市，全称荆州市，简称荆州。公安县全称公安县，简称公安。,湖北,荆州市,荆州,公安县,公安,湖北拼音hubei，荆州市拼音jingzhoushi，荆州拼音jingzhou，公安县拼音gonganxian，公安拼音gongan,hubei,hubei,jingzhoushi,jingzhou,gonganxian,gongan,湖北省,湖北,荆州市,荆州,jingzhoushi,Jingzhou,Hubei
zhejiang,pailing,zhejiang指浙江。pailing是磐安县，隶属金华市，简称金华。磐安县简称磐安。,浙江,金华市,金华,磐安县,磐安,浙江拼音zhejiang，金华市拼音jinhuashi，金华拼音jinhua，磐安县拼音pananxian，磐安拼音panan,zhejiang,zhejiang,jinhuashi,jinhua,pananxian,panan,浙江省,浙江,金华市,金华,jinhuashi,Jinhua,Zhejiang
heilongjiang,jiguan district,heilongjiang指黑龙江。jiguan district指鸡冠区，所属地级行政区是鸡西市，全称鸡西市，简称鸡西。鸡冠区全称鸡冠区，简称鸡冠。,黑龙江,鸡西市,鸡西,鸡冠区,鸡冠,黑龙江拼音heilongjiang，鸡西市拼音jixishi，鸡西拼音jixi，鸡冠区拼音jiguanqu，鸡冠拼音jiguan,heilongjiang,heilongjiang,jixishi,jixi,jiguanqu,jiguan,黑龙江省,黑龙江,鸡西市,鸡西,jixishi,Jixi,Heilongjiang
heilongjiang,aimin district,heilongjiang指黑龙江。aimin district指牡丹江市爱民区，所属地级行政是牡丹江市，全称牡丹江市，简称牡丹江。区级单位填充到区。,黑龙江,牡丹江市,牡丹江,爱民区,爱民,黑龙江拼音heilongjiang，牡丹江市拼音mudanjiangshi，牡丹江拼音mudanjiang，爱民区拼音aiminqu，爱民拼音aimin,heilongjiang,heilongjiang,mudanjiangshi,mudanjiang,aiminqu,aimin,黑龙江省,黑龙江,牡丹江市,牡丹江,mudanjiangshi,Mudanjiang,Heilongjiang
gansu,longde,gansu指甘肃。longde是甘肃平凉市的隆德县，所属地级市平凉市，简称平凉。隆德县简称隆德。,甘肃,平凉市,平凉,隆德县,隆德,甘肃拼音gansu，平凉市拼音pingliangshi，平凉拼音pingliang，隆德县拼音longdexian，隆德拼音longde,gansu,gansu,pingliangshi,pingliang,longdexian,longde,甘肃省,甘肃,平凉市,平凉,pingliangshi,Pingliang,Gansu
hebei,haigang district,hebei指河北。haigang district指海港区，所属地级行政区是秦皇岛市，全称秦皇岛市，简称秦皇岛。海港区全称海港区，简称海港。,河北,秦皇岛市,秦皇岛,海港区,海港,河北拼音hebei，秦皇岛市拼音qinhuangdaoshi，秦皇岛拼音qinhuangdao，海港区拼音haigangqu，海港拼音haigang,hebei,hebei,qinhuangdaoshi,qinhuangdao,haigangqu,haigang,河北省,河北,秦皇岛市,秦皇岛,qinhuangdaoshi,Qinhuangdao,Hebei
guangdong,pinghuwei,guangdong指广东。pinghuwei是深圳龙岗区平湖街道，所属地级市深圳市，简称深圳。平湖街道简称平湖。,广东,深圳市,深圳,平湖街道,平湖,广东拼音guangdong，深圳市拼音shenzhenshi，深圳拼音shenzhen，平湖街道拼音pinghujiedao，平湖拼音pinghu,guangdong,guangdong,shenzhenshi,shenzhen,pinghujiedao,pinghu,广东省,广东,深圳市,深圳,shenzhenshi,Shenzhen,Guangdong
xinjiang uygur,toli,xinjiang uygur指新疆。toli指托里县，所属地级行政区是塔城地区，全称塔城地区，简称塔城。托里县全称托里县，简称托里。,新疆,塔城地区,塔城,托里县,托里,新疆拼音xinjiang，塔城地区拼音tachengdiqu，塔城拼音tacheng，托里县拼音tuolixian，托里拼音tuoli,xinjiang,xinjiang,tachengdiqu,tacheng,tuolixian,tuoli,新疆维吾尔自治区,新疆,塔城地区,塔城,tachengdiqu,Qoqek,Xinjiang
liaoning,tiefa,liaoning指辽宁。tiefa指调兵山市，所属地级行政区是铁岭市，全称铁岭市，简称铁岭。调兵山市全称调兵山市，简称调兵山。,辽宁,铁岭市,铁岭,调兵山市,调兵山,辽宁拼音liaoning，铁岭市拼音tielingshi，铁岭拼音tieling，调兵山市拼音diaobingshanshi，调兵山拼音diaobingshan,liaoning,liaoning,tielingshi,tieling,diaobingshanshi,diaobingshan,辽宁省,辽宁,铁岭市,铁岭,tielingshi,Tieling,Liaoning
xinjiang uygur,tianshan district,xinjiang uygur指新疆。tianshan district为乌鲁木齐市天山区，市全称升级为乌鲁木齐市。,新疆,乌鲁木齐市,乌鲁木齐,天山区,天山,新疆拼音xinjiang，乌鲁木齐市拼音wulumuqishi，乌鲁木齐拼音wulumuqi，天山区拼音tianshanqu，天山拼音tianshan,xinjiang,xinjiang,wulumuqishi,wulumuqi,tianshanqu,tianshan,新疆维吾尔自治区,新疆,乌鲁木齐市,乌鲁木齐,wulumuqishi,Urumqi,Xinjiang
hubei,yingzhong neighborhood,hubei指湖北。yingzhong neighborhood可能指应城市营中街道，所属地级行政是孝感市，全称孝感市，简称孝感。街道不填充到区。,湖北,孝感市,孝感,null,null,湖北拼音hubei，孝感市拼音xiaoganshi，孝感拼音xiaogan，null非中文返回null，null非中文返回null,hubei,hubei,xiaoganshi,xiaogan,null,null,湖北省,湖北,孝感市,孝感,xiaoganshi,Xiaogan,Hubei
inner mongolia,dong ujimqin qi,inner mongolia无法确定省份。dong ujimqin qi是内蒙古锡林郭勒盟的东乌珠穆沁旗，所属盟简称锡林郭勒。,inner mongolia,锡林郭勒盟,锡林郭勒,东乌珠穆沁旗,东乌珠穆沁,inner mongolia非中文返回null，锡林郭勒盟的盟是地级行政区划单位，拼音为meng，所以锡林郭勒盟拼音xilinguolemeng，锡林郭勒拼音xilinguole，东乌珠穆沁旗拼音dongwuzhumuqinqi，东乌珠穆沁拼音dongwuzhumuqin,null,null,xilinguolemeng,xilinguole,dongwuzhumuqinqi,dongwuzhumuqin,内蒙古自治区,内蒙古,锡林郭勒盟,锡林郭勒盟,xilinguolemeng,Xilin Gol,Inner Mongolia
chongqing,kaizhou district,chongqing指重庆。kaizhou district为重庆市开州区，直辖市处理规则。,重庆,重庆市,重庆,开州区,开州,重庆拼音chongqing，重庆市拼音chongqingshi，重庆拼音chongqing，开州区拼音kaizhouqu，开州拼音kaizhou,chongqing,chongqing,chongqingshi,chongqing,kaizhouqu,kaizhou,重庆市,重庆,重庆市,重庆,zhongqingshi,Chongqing,Chongqing
zstate1,zcity3,推理,省,市全称,市简称,区全称,区简称,翻译过程,province,province_clean,city,cityshort,town,townshort,provinceshortname,provincename,cityname,cityshortname,citypinyin,cityshortpinyin,provincepinyin
jiangxi,shangdundu town,jiangxi指江西。shangdundu town指抚州市临川区的上顿渡镇，所属地级行政是抚州市，全称抚州市，简称抚州。区全称上顿渡镇，简称上顿渡。,江西,抚州市,抚州,上顿渡镇,上顿渡,江西拼音jiangxi，抚州市拼音fuzhoushi，抚州拼音fuzhou，上顿渡镇拼音shangduduzhen，上顿渡拼音shangdudu,jiangxi,jiangxi,fuzhoushi,fuzhou,shangduduzhen,shangdudu,福建省,福建,福州市,福州,fuzhoushi,Fuzhou,Fujian
jiangxi,shangdundu town,jiangxi指江西。shangdundu town指抚州市临川区的上顿渡镇，所属地级行政是抚州市，全称抚州市，简称抚州。区全称上顿渡镇，简称上顿渡。,江西,抚州市,抚州,上顿渡镇,上顿渡,江西拼音jiangxi，抚州市拼音fuzhoushi，抚州拼音fuzhou，上顿渡镇拼音shangduduzhen，上顿渡拼音shangdudu,jiangxi,jiangxi,fuzhoushi,fuzhou,shangduduzhen,shangdudu,江西省,江西,抚州市,抚州,fuzhoushi,Fuzhou,Jiangxi
sichuan,sêrtar county,sichuan指四川。sêrtar county是甘孜藏族自治州色达县，所属地级行政区是甘孜藏族自治州，全称甘孜藏族自治州，简称甘孜。色达县简称色达。,四川,甘孜藏族自治州,甘孜,色达县,色达,四川拼音sichuan，甘孜藏族自治州拼音ganzicangzuzizhizhou，甘孜拼音ganzi，色达县拼音sedaxian，色达拼音seda,sichuan,sichuan,ganzicangzuzizhizhou,ganzi,sedaxian,seda,四川省,四川,甘孜藏族自治州,甘孜,ganzicangzuzizhizhou,Garze,Sichuan
qinghai,gade county,qinghai指青海。gade county是果洛藏族自治州甘德县，所属地级行政区是果洛藏族自治州，全称果洛藏族自治州，简称果洛。甘德县简称甘德。,青海,果洛藏族自治州,果洛,甘德县,甘德,青海拼音qinghai，果洛藏族自治州拼音guoluocangzuzizhizhou，果洛拼音guoluo，甘德县拼音gandexian，甘德拼音gande,qinghai,qinghai,guoluocangzuzizhizhou,guoluo,gandexian,gande,青海省,青海,果洛藏族自治州,果洛,guoluocangzuzizhizhou,Golog,Qinghai
hainan,jinjiang town,hainan指海南。jinjiang town是澄迈县金江镇，所属地级行政区是海口市，全称海口市，简称海口。区需为县级及以上，无法确定，返回null。,海南,海口市,海口,null,null,海南拼音hainan，海口市拼音haikoushi，海口拼音haikou，null非中文返回null，null非中文返回null,hainan,hainan,haikoushi,haikou,null,null,海南省,海南,海口市,海口,haikoushi,Haikou,Hainan
guangdong,pingdixu,guangdong指广东。pingdixu可能为深圳市龙岗区的坪地街道，所属地级行政是深圳市，全称深圳市，简称深圳。区全称坪地街道，简称坪地。,广东,深圳市,深圳,坪地街道,坪地,广东拼音guangdong，深圳市拼音shenzhenshi，深圳拼音shenzhen，坪地街道拼音pingdijiedao，坪地拼音pingdi,guangdong,guangdong,shenzhenshi,shenzhen,pingdijiedao,pingdi,广东省,广东,深圳市,深圳,shenzhenshi,Shenzhen,Guangdong
jiangxi,xiongshi,jiangxi指江西。xiongshi可能指鹰潭市贵溪市的雄石街道，所属地级行政是鹰潭市，全称鹰潭市，简称鹰潭。区全称雄石街道，简称雄石。,江西,鹰潭市,鹰潭,雄石街道,雄石,江西拼音jiangxi，鹰潭市拼音yingtanshi，鹰潭拼音yingtan，雄石街道拼音xiongshijiedao，雄石拼音xiongshi,jiangxi,jiangxi,yingtanshi,yingtan,xiongshijiedao,xiongshi,江西省,江西,鹰潭市,鹰潭,yingtanshi,Yingtan,Jiangxi
