zcrtname,zstate1,zcity3,推理,省,市,地区
China,jiangsu,jiangyin,jiangsu指江苏，无需修改。jiangyin是县级市，隶属于无锡市，因此返回wuxi。将原输入市jiangyin输入填充到地区。,jiangsu,wuxi,jiangyin
China,shanghai,tangzhen town,shanghai指上海，无需修改。tangzhen town是浦东新区的一个镇，因此返回pudongxinqu。将原输入市tangzhen town输入填充到地区。,shanghai,pudongxinqu,tangzhen town
China,chongqing,shapingba district,chongqing指重庆，无需修改。shapingba district是指沙坪坝区，直接填写。将原输入市shapingba district输入填充到地区。,chongqing,chongqing,shapingba district
China,liaoning,huanggu district,liaoning指辽宁，无需修改。huanggu district是指皇姑区，属于沈阳市，因此返回shenyang。将原输入市huanggu district输入填充到地区。,liaoning,shenyang,huanggu district
China,hainan,haitang district,hainan指海南，无需修改。haitang district是指海棠区，属于三亚市，因此返回sanya。将原输入市haitang district输入填充到地区。,hainan,sanya,haitang district
China,jiangsu,pizhou,jiangsu指江苏，无需修改。pizhou是县级市，隶属于徐州市，因此返回xuzhou。将原输入市pizhou输入填充到地区。,jiangsu,xuzhou,pizhou
China,inner mongolia,dongsheng,inner mongolia指内蒙古自治区，但应简化为innermongolia。dongsheng是指东胜区，属于鄂尔多斯市，因此返回ordos。将原输入市dongsheng输入填充到地区。,innermongolia,ordos,dongsheng
China,guangdong,luohu district,guangdong指广东，无需修改。luohu district是指罗湖区，属于深圳市，因此返回shenzhen。将原输入市luohu district输入填充到地区。,guangdong,shenzhen,luohu district
China,inner mongolia,jiuyuan district,inner mongolia指内蒙古自治区，但应简化为innermongolia。jiuyuan district是指九原区，属于包头市，因此返回baotou。将原输入市jiuyuan district输入填充到地区。,innermongolia,baotou,jiuyuan district
China,beijing,changping district,beijing指北京，无需修改。changping district是指昌平区，直接填写。将原输入市changping district输入填充到地区。,beijing,beijing,changping district
China,tibet,chengguan district,tibet指西藏，无需修改。chengguan district是指城关区，属于拉萨市，因此返回lasa。将原输入市chengguan district输入填充到地区。,tibet,lasa,chengguan district
China,xinjiang uygur,shihezi,xinjiang uygur指新疆维吾尔自治区，但应简化为xinjiang。shihezi是石河子市，属于直辖市，无需修改。输入没有提供地区名，填充为null。,xinjiang,shihezi,null
China,guangxi zhuang,tengchengzhen,guangxi zhuang指广西壮族自治区，但应简化为guangxi。tengchengzhen无法识别，返回原输入。,guangxi,tengchengzhen,null
China,guangxi zhuang,lingui district,guangxi zhuang指广西壮族自治区，但应简化为guangxi。lingui district是指临桂区，属于桂林市，因此返回guilin。将原输入市lingui district输入填充到地区。,guangxi,guilin,lingui district
China,guangdong,fuyong town,guangdong指广东，无需修改。fuyong town无法识别，返回原输入。,guangdong,fuyong town,null
China,shaanxi,jintai district,shaanxi指陕西，无需修改。jintai district是指金台区，属于宝鸡市，因此返回baoji。将原输入市jintai district输入填充到地区。,shaanxi,baoji,jintai district
China,hebei,guangyang district,hebei指河北，无需修改。guangyang district是指广阳区，属于廊坊市，因此返回langfang。将原输入市guangyang district输入填充到地区。,hebei,langfang,guangyang district
China,hunan,changsha county,hunan指湖南，无需修改。changsha county是指长沙县，属于长沙市，因此返回changsha。将原输入市changsha county输入填充到地区。,hunan,changsha,changsha county
China,henan,guancheng huizu district,henan指河南，无需修改。guancheng huizu district是指管城回族区，属于郑州市，因此返回zhengzhou。将原输入市guancheng huizu district输入填充到地区。,henan,zhengzhou,guancheng huizu district
China,inner mongolia,ulanhot,inner mongolia指内蒙古自治区，但应简化为innermongolia。ulanhot是指乌兰浩特市，属于兴安盟，但不属于任何地级市，返回原输入。,innermongolia,ulanhot,null
China,anhui,huashan district,anhui指安徽，无需修改。huashan district指安徽的黄山市黄山区，属于黄山市，返回huangshan。将原输入市huashan district填充到地区,anhui,huangshan,huashan district
China,jiangsu,liyang,jiangsu指江苏，无需修改。liyang是指江苏的溧阳市，溧阳是县级市，所属地级市是常州所以返回changzhou。将原输入市liyang填充到地区。,jiangsu,changzhou,liyang
China,henan,weibin district,henan指河南，无需修改。weibin district指河南的渭滨区，但河南省内没有名为渭滨区的地方，保持原输入不变。,henan,weibin district,null
China,shaanxi,guodu town,shaanxi指陕西，无需修改。guodu town指过渡镇，但陕西省内没有明确匹配的地名，保持原输入不变。,shaanxi,guodu town,null
China,shanxi,datong,shanxi指山西，无需修改。datong指山西的大同，大同是地级市，符合格式无需修改。输入没有提供地区名，填充为null。,shanxi,datong,null
China,anhui,feixi county,anhui指安徽，无需修改。feixi county指安徽的肥西县，肥西县属于合肥市，返回hefei。将原输入市feixi county填充到地区。,anhui,hefei,feixi county
China,hunan,zhuhui district,hunan指湖南，无需修改。zhuhui district指湖南的珠晖区，珠晖区属于衡阳市，返回hengyang。将原输入市zhuhui district填充到地区。,hunan,hengyang,zhuhui district
China,shandong,guangrao county,shandong指山东，无需修改。guangrao county指山东的广饶县，广饶县属于东营市，返回dongying。将原输入市guangrao county填充到地区。,shandong,dongying,guangrao county
China,jiangsu,liangxi district,jiangsu指江苏，无需修改。liangxi district指江苏的梁溪区，梁溪区属于无锡市，返回wuxi。将原输入市liangxi district填充到地区。,jiangsu,wuxi,liangxi district
China,fujian,haicang district,fujian指福建，无需修改。haicang district指福建的海沧区，海沧区属于厦门市，返回xiamen。将原输入市haicang district填充到地区。,fujian,xiamen,haicang district
China,jilin,lüyuan district,jilin指吉林，无需修改。lüyuan district指吉林的绿园区，绿园区属于长春市，返回changchun。将原输入市lüyuan district填充到地区。,jilin,changchun,lüyuan district
China,guangxi zhuang,youjiang district,guangxi zhuang指广西壮族自治区，无需修改。youjiang district指广西的右江区，右江区属于百色市，返回baise。将原输入市youjiang district填充到地区。,guangxi zhuang,baise,youjiang district
China,shandong,longkou,shandong指山东，无需修改。longkou指山东的龙口市，龙口是县级市，所属地级市是烟台市，返回yantai。将原输入市longkou填充到地区。,shandong,yantai,longkou
China,hubei,honghu,hubei指湖北，无需修改。honghu指湖北的洪湖市，洪湖是县级市，所属地级市是荆州市，返回jingzhou。将原输入市honghu填充到地区。,hubei,jingzhou,honghu
China,henan,zhongyuan district,henan指河南，无需修改。zhongyuan district指河南的中原区，中原区属于郑州市，返回zhengzhou。将原输入市zhongyuan district填充到地区。,henan,zhengzhou,zhongyuan district
China,henan,liangyuan district,henan指河南，无需修改。liangyuan district指河南的梁园区，梁园区属于商丘市，返回shangqiu。将原输入市liangyuan district填充到地区。,henan,shangqiu,liangyuan district
China,zhejiang,cixi,zhejiang指浙江，无需修改。cixi指浙江的慈溪市，慈溪是县级市，所属地级市是宁波市，返回ningbo。将原输入市cixi填充到地区。,zhejiang,ningbo,cixi
China,hainan,xiuying,hainan指海南，无需修改。xiuying指海南的秀英区，秀英区属于海口市，返回haikou。将原输入市xiuying填充到地区。,hainan,haikou,xiuying
China,tibet,samzhubzê district,tibet指西藏，无需修改。samzhubzê district指西藏的桑珠孜区，桑珠孜区属于日喀则市，返回rikaze。将原输入市samzhubzê district填充到地区。,tibet,rikaze,samzhubzê district
China,liaoning,baita district,liaoning指辽宁，无需修改。baita district指辽宁的白塔区，白塔区属于辽阳市，返回liaoyang。将原输入市baita district填充到地区。,liaoning,liaoyang,baita district
China,sichuan,chuanshan district,sichuan指四川，无需修改。chuanshan district指四川的船山区，船山区属于遂宁市，返回suining。将原输入市chuanshan district填充到地区。,sichuan,suining,chuanshan district
China,jiangsu,wujin district,jiangsu指江苏，无需修改。wujin district指江苏的武进区，武进区属于常州市，返回changzhou。将原输入市wujin district填充到地区。,jiangsu,changzhou,wujin district
China,chongqing,beibei district,chongqing指重庆，无需修改。beibei district指重庆的北碚区，北碚区直接隶属于重庆市，返回chongqing。将原输入市beibei district填充到地区。,chongqing,chongqing,beibei district
China,anhui,lujiang county,anhui指安徽，无需修改。lujiang county指安徽的庐江县，庐江县属于合肥市，返回hefei。将原输入市lujiang county填充到地区。,anhui,hefei,lujiang county
China,hunan,zhuzhou,hunan指湖南，无需修改。zhuzhou指湖南的株洲市，株洲是地级市，符合格式无需修改。输入没有提供地区名，填充为null。,hunan,zhuzhou,null
China,tianjin,xiqing district,tianjin指天津，无需修改。xiqing district指天津的西青区，西青区直接隶属于天津市，返回tianjin。将原输入市xiqing district填充到地区。,tianjin,tianjin,xiqing district
China,jiangxi,nanchang county,jiangxi指江西，无需修改。nanchang county指江西的南昌县，南昌县属于南昌市，返回nanchang。将原输入市nanchang county填充到地区。,jiangxi,nanchang,nanchang county
China,guangdong,baini,guangdong指广东，无需修改。baini指广东的白坭镇，白坭镇属于佛山市三水区，返回foshan。将原输入市baini填充到地区。,guangdong,foshan,baini
China,beijing,dongxiaokouzhen,beijing指北京，无需修改。dongxiaokouzhen指北京的东小口镇，东小口镇属于昌平区，返回changping。将原输入市dongxiaokouzhen填充到地区。,beijing,changping,dongxiaokouzhen
China,ningxia hui,jinfeng district,ningxia hui指宁夏回族自治区，无需修改。jinfeng district指宁夏的金凤区，金凤区属于银川市，返回yinchuan。将原输入市jinfeng district填充到地区。,ningxia hui,yinchuan,jinfeng district
China,guizhou,anlexiang,guizhou指贵州，无需修改。anlexiang指贵州的安乐乡，但贵州省内没有明确匹配的地名，保持原输入不变。,guizhou,anlexiang,null
China,shandong,huancui qu,shandong指山东，无需修改。huancui qu指山东的环翠区，环翠区属于威海市，返回weihai。将原输入市huancui qu填充到地区。,shandong,weihai,huancui qu
China,sichuan,lizhou district,sichuan指四川，无需修改。lizhou district指四川的利州区，利州区属于广元市，返回guangyuan。将原输入市lizhou district填充到地区。,sichuan,guangyuan,lizhou district
China,henan,kaifeng,henan指河南，无需修改。kaifeng指河南的开封市，开封是地级市，符合格式无需修改。输入没有提供地区名，填充为null。,henan,kaifeng,null
China,shandong,zaozhuang,shandong指山东，无需修改。zaozhuang指山东的枣庄市，枣庄是地级市，符合格式无需修改。输入没有提供地区名，填充为null。,shandong,zaozhuang,null
China,sichuan,jiange county,sichuan指四川，无需修改。jiange county指四川的剑阁县，剑阁县属于广元市，返回guangyuan。将原输入市jiange county填充到地区。,sichuan,guangyuan,jiange county
China,beijing,liangxiang,beijing指北京，无需修改。liangxiang指北京的良乡镇，良乡镇属于房山区，返回fangshan。将原输入市liangxiang填充到地区。,beijing,fangshan,liangxiang
China,No Data,zhengzhou,No Data指无数据，无法确定省和市的信息，保持原输入不变。,No Data,zhengzhou,null
China,jilin,jilin,jilin指吉林，无需修改。jilin指吉林市，吉林是地级市，符合格式无需修改。输入没有提供地区名，填充为null。,jilin,jilin,null
China,liaoning,lingshui,liaoning指辽宁，无需修改。lingshui指辽宁的凌水街道，但辽宁省没有明确匹配的地名，保持原输入不变。,liaoning,lingshui,null
China,zhejiang,shaoxing,zhejiang指浙江，无需修改。shaoxing指浙江的绍兴市，绍兴是地级市，符合格式无需修改。输入没有提供地区名，填充为null。,zhejiang,shaoxing,null
China,anhui,chaohu,anhui指安徽，无需修改。chaohu指安徽的巢湖市，巢湖是县级市，所属地级市是合肥市，返回hefei。将原输入市chaohu填充到地区。,anhui,hefei,chaohu
China,guangxi zhuang,qingxiu qu,guangxi zhuang指广西壮族自治区，无需修改。qingxiu qu指广西的青秀区，青秀区属于南宁市，返回nanning。将原输入市qingxiu qu填充到地区。,guangxi zhuang,nanning,qingxiu qu
China,hubei,xiling district,hubei指湖北，无需修改。xiling district指湖北的西陵区，西陵区属于宜昌市，返回yichang。将原输入市xiling district填充到地区。,hubei,yichang,xiling district
China,hebei,tangshan,hebei指河北，无需修改。tangshan指河北的唐山市，唐山是地级市，符合格式无需修改。输入没有提供地区名，填充为null。,hebei,tangshan,null
China,hebei,langfang,hebei指河北，无需修改。langfang指河北的廊坊市，廊坊是地级市，符合格式无需修改。输入没有提供地区名，填充为null。,hebei,langfang,null
China,liaoning,wafangdian,liaoning指辽宁，无需修改。wafangdian指辽宁的瓦房店市，瓦房店是县级市，所属地级市是大连市，返回dalian。将原输入市wafangdian填充到地区。,liaoning,dalian,wafangdian
China,sichuan,emeishan city,sichuan指四川，无需修改。emeishan city指四川的峨眉山市，峨眉山是县级市，所属地级市是乐山市，返回leshan。将原输入市emeishan city填充到地区。,sichuan,leshan,emeishan city
China,hunan,zhengxiang district,hunan指湖南，无需修改。zhengxiang district指湖南的蒸湘区，蒸湘区属于衡阳市，返回hengyang。将原输入市zhengxiang district填充到地区。,hunan,hengyang,zhengxiang district
China,liaoning,shenhe district,liaoning指辽宁，无需修改。shenhe district指辽宁的沈河区，沈河区属于沈阳市，返回shenyang。将原输入市shenhe district填充到地区。,liaoning,shenyang,shenhe district
China,inner mongolia,huimin district,inner mongolia指内蒙古，无需修改。huimin district指内蒙古的惠民区，但没有明确属于哪个市，无法确定具体地级市，返回null。将原输入市huimin district填充到地区,inner mongolia,null,huimin district
China,beijing,dongbeiwangxiang,beijing是北京的英文，符合格式无需修改。dongbeiwangxiang是指北京的东北旺乡，属于海淀区，因此返回haidian。将原输入市dongbeiwangxiang填充到地区。,beijing,haidian,dongbeiwangxiang
China,hebei,zaoqiang,hebei是河北的英文，符合格式无需修改。zaoqiang指河北的枣强县，所属地级市为衡水，返回hengshui。将原输入市zaoqiang填充到地区。,hebei,hengshui,zaoqiang
China,shanghai,changzheng,shanghai是上海的英文，符合格式无需修改。changzheng是指上海的长征镇，属于普陀区，返回putuo。将原输入市changzheng填充到地区。,shanghai,putuo,changzheng
China,shaanxi,jingbian,shaanxi是陕西的英文，符合格式无需修改。jingbian指陕西的靖边县，属于榆林市，返回yulin。将原输入市jingbian填充到地区。,shaanxi,yulin,jingbian
China,zhejiang,nanhu district,zhejiang是浙江的英文，符合格式无需修改。nanhu district指浙江的南湖区，属于嘉兴市，返回jiaxing。将原输入市nanhu district填充到地区。,zhejiang,jiaxing,nanhu district
China,sichuan,shizhong district,sichuan是四川的英文，符合格式无需修改。shizhong district指四川的市中区，属于乐山市，返回leshan。将原输入市shizhong district填充到地区。,sichuan,leshan,shizhong district
China,jiangsu,zhenjiang,jiangsu是江苏的英文，符合格式无需修改。zhenjiang指江苏的镇江市，镇江是地级市，无需修改。输入没有提供地区名，填充为null。,jiangsu,zhenjiang,null
China,liaoning,tuoshanxiang,liaoning是辽宁的英文，符合格式无需修改。tuoshanxiang指辽宁的驼山乡，但没有明确属于哪个市，无法确定具体地级市，返回null。将原输入市tuoshanxiang填充到地区。,liaoning,null,tuoshanxiang
China,shandong,heze,shandong是山东的英文，符合格式无需修改。heze指山东的菏泽市，菏泽是地级市，无需修改。输入没有提供地区名，填充为null。,shandong,heze,null
China,jiangsu,pukou district,jiangsu是江苏的英文，符合格式无需修改。pukou district指江苏的浦口区，属于南京市，返回nanjing。将原输入市pukou district填充到地区。,jiangsu,nanjing,pukou district
China,hunan,yuetang district,hunan是湖南的英文，符合格式无需修改。yuetang district指湖南的岳塘区，属于湘潭市，返回xiangtan。将原输入市yuetang district填充到地区。,hunan,xiangtan,yuetang district
China,hubei,jingzhou district,hubei是湖北的英文，符合格式无需修改。jingzhou district指湖北的荆州区，属于荆州市，返回jingzhou。将原输入市jingzhou district填充到地区。,hubei,jingzhou,jingzhou district
China,guangdong,yayaozhen guangzhou,guangdong指广东，无需修改。yayaozhen guangzhou指广东的雅瑶镇广州，雅瑶镇属于广州市，返回guangzhou。将原输入市yayaozhen guangzhou填充到地区。,guangdong,guangzhou,yayaozhen guangzhou
China,guangdong,xiashan district,guangdong指广东，无需修改。xiashan district指广东的霞山区，属于湛江市，返回zhanjiang。将原输入市xiashan district填充到地区。,guangdong,zhanjiang,xiashan district
China,qinghai,xining,qinghai是青海的英文，符合格式无需修改。xining指青海的西宁市，西宁是地级市，无需修改。输入没有提供地区名，填充为null。,qinghai,xining,null
China,guangdong,zhanjiang,guangdong指广东，无需修改。zhanjiang指广东的湛江市，湛江是地级市，无需修改。输入没有提供地区名，填充为null。,guangdong,zhanjiang,null
China,yunnan,honghe hanizu yizu aut prefecture,yunnan是云南的英文，符合格式无需修改。honghe hanizu yizu aut prefecture指云南的红河哈尼族彝族自治州，红河州是自治州，无需修改。输入没有提供地区名，填充为null。,yunnan,honghe hanizu yizu aut prefecture,null
China,inner mongolia,haibowan district,inner mongolia指内蒙古，无需修改。haibowan district指内蒙古的海勃湾区，属于乌海市，返回wuhai。将原输入市haibowan district填充到地区。,inner mongolia,wuhai,haibowan district
China,shaanxi,daliutazhen,shaanxi是陕西的英文，符合格式无需修改。daliutazhen指陕西的大六塔镇，但没有明确属于哪个市，无法确定具体地级市，返回null。将原输入市daliutazhen填充到地区。,shaanxi,null,daliutazhen
China,jiangsu,chongchuan qu,jiangsu是江苏的英文，符合格式无需修改。chongchuan qu指江苏的崇川区，属于南通市，返回nantong。将原输入市chongchuan qu填充到地区。,jiangsu,nantong,chongchuan qu
China,guizhou,duyun,guizhou是贵州的英文，符合格式无需修改。duyun指贵州的都匀市，都匀是县级市，所属地级市为黔南布依族苗族自治州，返回qiannan buyizu miaozu zizhizhou。将原输入市duyun填充到地区。,guizhou,qiannan buyizu miaozu zizhizhou,duyun
China,yunnan,wenshan,yunnan是云南的英文，符合格式无需修改。wenshan指云南的文山市，文山是县级市，所属地级市为文山壮族苗族自治州，返回wenshan zhuangzu miaozu zizhizhou。将原输入市wenshan填充到地区。,yunnan,wenshan zhuangzu miaozu zizhizhou,wenshan
China,hubei,xiaonan district,hubei是湖北的英文，符合格式无需修改。xiaonan district指湖北的孝南区，属于孝感市，返回xiaogan。将原输入市xiaonan district填充到地区。,hubei,xiaogan,xiaonan district
China,hubei,enshi tujiazu miaozu zizhizhou,hubei是湖北的英文，符合格式无需修改。enshi tujiazu miaozu zizhizhou指湖北的恩施土家族苗族自治州，恩施州是自治州，无需修改。输入没有提供地区名，填充为null。,hubei,enshi tujiazu miaozu zizhizhou,null
China,fujian,xiang an district,fujian是福建的英文，符合格式无需修改。xiang an district指福建的翔安区，属于厦门市，返回xiamen。将原输入市xiang an district填充到地区。,fujian,xiamen,xiang an district
China,gansu,lanzhou,gansu是甘肃的英文，符合格式无需修改。lanzhou指甘肃的兰州市，兰州是地级市，无需修改。输入没有提供地区名，填充为null。,gansu,lanzhou,null
China,guangdong,yuancheng district,guangdong指广东，无需修改。yuancheng district指广东的源城区，属于河源市，返回heyuan。将原输入市yuancheng district填充到地区。,guangdong,heyuan,yuancheng district
China,henan,xinyang,henan是河南的英文，符合格式无需修改。xinyang指河南的信阳市，信阳是地级市，无需修改。输入没有提供地区名，填充为null。,henan,xinyang,null
China,sichuan,songpan county,sichuan是四川的英文，符合格式无需修改。songpan county指四川的松潘县，属于阿坝藏族羌族自治州，返回abazangzu qiangzu zizhizhou。将原输入市songpan county填充到地区。,sichuan,abazangzu qiangzu zizhizhou,songpan county
China,shandong,zibo,shandong是山东的英文，符合格式无需修改。zibo指山东的淄博市，淄博是地级市，无需修改。输入没有提供地区名，填充为null。,shandong,zibo,null
China,hubei,enshi city,hubei是湖北的英文，符合格式无需修改。enshi city指湖北的恩施市，属于恩施土家族苗族自治州，返回enshi tujiazu miaozu zizhizhou。将原输入市enshi city填充到地区。,hubei,enshi tujiazu miaozu zizhizhou,enshi city
China,guangdong,pingdi,guangdong指广东，无需修改。pingdi指广东的坪地街道，属于深圳市，返回shenzhen。将原输入市pingdi填充到地区。,guangdong,shenzhen,pingdi
China,guangdong,zengcheng district,guangdong指广东，无需修改。zengcheng district指广东的增城区，属于广州市，返回guangzhou。将原输入市zengcheng district填充到地区。,guangdong,guangzhou,zengcheng district
China,shanghai,dachangzhen,shanghai是上海的英文，符合格式无需修改。dachangzhen指上海的大场镇，属于宝山区，返回baoshan。将原输入市dachangzhen填充到地区。,shanghai,baoshan,dachangzhen
China,guizhou,shixizhen,guizhou是贵州的英文，符合格式无需修改。shixizhen指贵州的石溪镇，但没有明确属于哪个市，无法确定具体地级市，返回null。将原输入市shixizhen填充到地区。,guizhou,null,shixizhen
China,beijing,tianzhu,beijing是北京的英文，符合格式无需修改。tianzhu指北京的天竺镇，属于顺义区，返回shunyi。将原输入市tianzhu填充到地区。,beijing,shunyi,tianzhu
China,zhejiang,sandunzhen,zhejiang是浙江的英文，符合格式无需修改。sandunzhen指浙江的三墩镇，属于杭州市，返回hangzhou。将原输入市sandunzhen填充到地区。,zhejiang,hangzhou,sandunzhen
China,hebei,haigang district,hebei是河北的英文，符合格式无需修改。haigang district指河北的海港区，属于秦皇岛市，返回qinhuangdao。将原输入市haigang district填充到地区。,hebei,qinhuangdao,haigang district
China,xinjiang uygur,tianshan district,xinjiang uygur是新疆维吾尔自治区的英文，符合格式无需修改。tianshan district指新疆维吾尔自治区的天山区，属于乌鲁木齐市，返回wulumuqi。将原输入市tianshan district填充到地区。,xinjiang uygur,wulumuqi,tianshan district
China,jiangsu,tianning district,jiangsu是江苏的英文，符合格式无需修改。tianning district指江苏的天宁区，属于常州市，返回changzhou。将原输入市tianning district填充到地区。,jiangsu,changzhou,tianning district
China,guangdong,shunde qu,guangdong指广东，无需修改。shunde qu指广东的顺德区，属于佛山市，返回foshan。将原输入市shunde qu填充到地区。,guangdong,foshan,shunde qu
China,yunnan,jinghong,yunnan是云南的英文，符合格式无需修改。jinghong指云南的景洪市，景洪是县级市，所属地级市为西双版纳傣族自治州，返回xishuangbanna dai zu zizhizhou。将原输入市jinghong填充到地区。,yunnan,xishuangbanna dai zu zizhizhou,jinghong
China,inner mongolia,bayan hot,inner mongolia指内蒙古，无需修改。bayan hot指内蒙古的巴彦淖尔市，巴彦淖尔是地级市，无需修改。输入没有提供地区名，填充为null。,inner mongolia,bayan hot,null
China,yunnan,longyang district,yunnan是云南的英文，符合格式无需修改。longyang district指云南的隆阳区，属于保山市，返回baoshan。将原输入市longyang district填充到地区。,yunnan,baoshan,longyang district
China,sichuan,guanghan,sichuan是四川的英文，符合格式无需修改。guanghan指四川的广汉市，广汉是县级市，所属地级市为德阳市，返回deyang。将原输入市guanghan填充到地区。,sichuan,deyang,guanghan
China,henan,yichuan,henan是河南的英文，符合格式无需修改。yichuan指河南的伊川县，属于洛阳市，返回luoyang。将原输入市yichuan填充到地区。,henan,luoyang,yichuan
China,guangdong,chancheng district,guangdong指广东，无需修改。chancheng district指广东的禅城区，属于佛山市，返回foshan。将原输入市chancheng district填充到地区。,guangdong,foshan,chancheng district
China,sichuan,jingyang district,sichuan是四川的英文，符合格式无需修改。jingyang district指四川的旌阳区，属于德阳市，返回deyang。将原输入市jingyang district填充到地区。,sichuan,deyang,jingyang district
