province_clean,zstate1,zcity3,推理,省,市全称,市简称,区全称,区简称,翻译过程,province,city,cityshort,town,townshort,provinceshortname,provincename,cityname,cityshortname,citypinyin,cityshortpinyin,provincepinyin
henan,henan,longan district,henan指河南。longan district指河南安阳的龙安区，全称龙安区，简称龙安,河南,安阳市,安阳,龙安区,龙安,河南拼音henan，安阳市拼音anyangshi，安阳拼音anyang，龙安区拼音longanqu，龙安拼音longan,henan,anyangshi,anyang,longanqu,longan,河南省,河南,安阳市,安阳,anyangshi,Anyang,Henan
sichuan,sichuan,shiyang town,sichuan指四川。shiyang town指四川的石羊镇，石羊镇隶属于都江堰市，都江堰市是地级行政区成都市代管的县级市，全称成都市，简称成都。石羊镇的全称是石羊镇，简称石羊,四川,成都市,成都,石羊镇,石羊,四川拼音sichuan，成都市拼音chengdushi，成都拼音chengdu，石羊镇拼音shiyangzhen，石羊拼音shiyang,sichuan,chengdushi,chengdu,shiyangzhen,shiyang,四川省,四川,成都市,成都,chengdoushi,Chengdu,Sichuan
heilongjiang,heilongjiang,pingyang town,heilongjiang指黑龙江。pingyang town指黑龙江的平阳镇，平阳镇隶属于鸡西市，全称鸡西市，简称鸡西。平阳镇的全称是平阳镇，简称平阳,黑龙江,鸡西市,鸡西,平阳镇,平阳,黑龙江拼音heilongjiang，鸡西市拼音jixishi，鸡西拼音jixi，平阳镇拼音pingyangzhen，平阳拼音pingyang,heilongjiang,jixishi,jixi,pingyangzhen,pingyang,黑龙江省,黑龙江,鸡西市,鸡西,jixishi,Jixi,Heilongjiang
xinjiang,xinjiang uygur,kargilik county,xinjiang uygur指新疆维吾尔自治区。kargilik county指新疆的伽师县，伽师县是喀什地区下辖县，全称喀什地区，简称喀什。伽师县的全称是伽师县，简称伽师，填充到区。,新疆维吾尔自治区,喀什地区,喀什,伽师县,伽师,新疆维吾尔自治区拼音xinjiangweiwuerzizhiqu，喀什地区拼音kashidiqu，喀什拼音kashi，伽师县拼音jiashixian，伽师拼音jiashi,xinjiangweiwuerzizhiqu,kashidiqu,kashi,jiashixian,jiashi,新疆维吾尔自治区,新疆,喀什地区,喀什,kashidiqu,Kashgar,Xinjiang
hebei,hebei,nandayuan township,hebei指河北。nandayuan township指河北廊坊的南大王庄，所属地级行政是廊坊市，全称廊坊市，简称廊坊。南大王庄所属区是安次区，全称安次区，简称安次,河北,廊坊市,廊坊,安次区,安次,河北拼音hebei，廊坊市拼音langfangshi，廊坊拼音langfang，安次区拼音anciqu，安次拼音anci,hebei,langfangshi,langfang,anciqu,anci,河北省,河北,廊坊市,廊坊,langfangshi,Langfang,Hebei
jiangsu,jiangsu,huilong town,jiangsu指江苏。huilong town指江苏的汇龙镇，汇龙镇隶属于启东市，启东市是地级行政区南通市代管的县级市，全称南通市，简称南通。汇龙镇的全称是汇龙镇，简称汇龙,江苏,南通市,南通,汇龙镇,汇龙,江苏拼音jiangsu，南通市拼音nantongshi，南通拼音nantong，汇龙镇拼音huilongzhen，汇龙拼音huilong,jiangsu,nantongshi,nantong,huilongzhen,huilong,江苏省,江苏,南通市,南通,nantongshi,Nantong,Jiangsu
guangdong,guangdong,kuichong subdistrict,guangdong指广东。kuichong subdistrict指广东深圳的葵涌街道，所属地级行政是深圳市，全称深圳市，简称深圳。葵涌街道所属区是大鹏新区，全称大鹏新区，简称大鹏,广东,深圳市,深圳,大鹏新区,大鹏,广东拼音guangdong，深圳市拼音shenzhenshi，深圳拼音shenzhen，大鹏新区拼音dapengxinqu，大鹏拼音dapeng,guangdong,shenzhenshi,shenzhen,dapengxinqu,dapeng,广东省,广东,深圳市,深圳,shenzhenshi,Shenzhen,Guangdong
anhui,anhui,tongguan district,anhui指安徽。tongguan district指安徽铜陵的铜官区，全称铜官区，简称铜官,安徽,铜陵市,铜陵,铜官区,铜官,安徽拼音anhui，铜陵市拼音tonglingshi，铜陵拼音tongling，铜官区拼音tongguanqu，铜官拼音tongguan,anhui,tonglingshi,tongling,tongguanqu,tongguan,安徽省,安徽,铜陵市,铜陵,tonglingshi,Tongling,Anhui
hubei,hubei,liufang,hubei指湖北。liufang指湖北的老河口市，老河口市是县级市，所属地级行政区是襄阳市，全称襄阳市，简称襄阳。老河口市的全称是老河口市，简称老河口，填充到区。,湖北,襄阳市,襄阳,老河口市,老河口,湖北拼音hubei，襄阳市拼音xiangyangshi，襄阳拼音xiangyang，老河口市拼音laohekoushi，老河口拼音laohekou,hubei,xiangyangshi,xiangyang,laohekoushi,laohekou,湖北省,湖北,襄阳市,襄阳,xiangyangshi,Xiangyang,Hubei
hubei,hubei,qingcheng,hubei指湖北。qingcheng指湖北咸宁的咸安区的旧称，全称咸安区，简称咸安,湖北,咸宁市,咸宁,咸安区,咸安,湖北拼音hubei，咸宁市拼音xianningshi，咸宁拼音xianning，咸安区拼音xiananqu，咸安拼音xianan,hubei,xianningshi,xianning,xiananqu,xianan,湖北省,湖北,咸宁市,咸宁,xianningshi,Xianning,Hubei
shanxi,shaanxi,wayaobu subdistrict,shaanxi指陕西。wayaobu subdistrict指陕西的韦曲街道，街道属于区县下辖，这里的区县可能是指西安市长安区的韦曲街道，西安市所属地级行政区是西安市，全称西安市，简称西安。韦曲街道的全称是韦曲街道，简称韦曲，填充到区。,陕西,西安市,西安,韦曲街道,韦曲,陕西拼音shanxi，西安市拼音xianshi，西安拼音xian，韦曲街道拼音weiqujiedao，韦曲拼音weiqu,shanxi,xianshi,xian,weiqujiedao,weiqu,陕西省,陕西,西安市,西安,xianshi,Xi'an,Shaanxi
shanxi,shaanxi,wayaobu subdistrict,shaanxi指陕西。wayaobu subdistrict指陕西的韦曲街道，街道属于区县下辖，这里的区县可能是指西安市长安区的韦曲街道，西安市所属地级行政区是西安市，全称西安市，简称西安。韦曲街道的全称是韦曲街道，简称韦曲，填充到区。,陕西,西安市,西安,韦曲街道,韦曲,陕西拼音shanxi，西安市拼音xianshi，西安拼音xian，韦曲街道拼音weiqujiedao，韦曲拼音weiqu,shanxi,xianshi,xian,weiqujiedao,weiqu,陕西省,陕西,西安市,西安,xianshi,Xian,Shaanxi
shanxi,shanxi,anyi neighborhood,shanxi指山西。anyi neighborhood指山西运城的安邑街道，所属地级行政是运城市，全称运城市，简称运城。安邑街道所属区是盐湖区，全称盐湖区，简称盐湖,山西,运城市,运城,盐湖区,盐湖,山西拼音shanxi，运城市拼音yunchengshi，运城拼音yuncheng，盐湖区拼音yanhuqu，盐湖拼音yanhu,shanxi,yunchengshi,yuncheng,yanhuqu,yanhu,山西省,山西,运城市,运城,yunchengshi,Yuncheng,Shanxi
zhongqing,chongqing,chongqing,chongqing指重庆。输入市为重庆市，重庆是直辖市，全称重庆市，简称渝。输入没有提供地区名，填充为null。,重庆,重庆市,渝,null,null,重庆拼音zhongqing，重庆市拼音zhongqingshi，渝拼音yu，null非中文返回null，null非中文返回null,zhongqing,zhongqingshi,yu,null,null,重庆市,重庆,重庆市,重庆,zhongqingshi,Chongqing,Chongqing
